"display_name","reputation","views","up_votes","down_votes"
"Mahesh Velaga",101,3,5,0
"Vincent",15,0,0,0
"Joril",163,5,19,0
"tmow",249,4,8,0
"Shinnok",101,0,0,0
"geoffrey",494,0,35,0
"josef",63,4,5,0
"pst007x",46,5,0,0
"Thorsten Reinbold",46,5,0,0
"Jeffrey Jose",101,1,0,0
"DavidGrove",1,1,0,0
"Rogach",148,0,8,0
"Sunny",111,2,0,0
"Stephen Paul Lesniewski",1,0,0,0
"Parhs",106,3,2,0
"Christoffer HammarstrÃ¶m",101,6,1,0
"MeanEYE",51,2,6,0
"tgandrews",101,2,3,0
"Ryan Bigg",101,2,1,0
"Delilah",18,6,1,0
"experimentX",365,18,38,0
"Satoru.Logic",101,0,3,0
"Tony Buck",31,0,0,0
"hanzz",1,0,0,0
"Niroshan",180,0,14,0
"Mladen JablanoviÄ‡",201,0,6,0
"Rick",30,3,1,0
"user8163",1,0,0,0
"user8164",51,2,0,0
"Benny",1,8,37,0
"mahmoudelbadry",81,6,1,0
"outis",101,0,2,0
"Rishav Rastogi",101,1,0,0
"Harald Wartig",1,0,0,0
"Lukasz Stelmach",159,0,53,0
"user8179",16,3,0,0
"volkerjaan",101,0,0,0
"Altivo",1,0,0,0
"TJGeezer",14,1,0,0
"Ragnar123",191,6,4,0
"user8189",1,0,0,0
"emilbochnik",11,0,0,0
"Starkey",101,1,7,0
"Bdoserror",101,0,0,0
"Tarek Fadel",111,0,0,0
"Anton Sakovich",1,0,0,0
"pavium",93,2,8,0
"jwilkins",46,0,0,0
"Joe",63,4,5,0
"Chris Brown",8,1,0,0
"Harbhag ",420,3,38,0
"Rod J",11,3,0,0
"Piyush",101,0,0,0
"Dean Michael",101,2,4,0
"user8216",36,4,0,0
"EnabrenTane",101,2,2,0
"Cary Chow",101,1,1,0
"user8221",1,0,0,0
"Jan ",11,1,0,0
"petersohn",196,1,2,0
"user8227",1,0,0,0
"Brian Buck",34,3,0,0
"Arafinwe",1,0,0,0
"hans",11,0,0,0
"Jonas Hellgren",1,0,0,0
"Jonas",101,0,0,0
"Industrial",202,14,17,0
"Myles",101,0,0,0
"Ashfame",735,11,127,0
"Silver Light",40,0,15,0
"iondiode",101,0,0,0
"Jason w",101,0,1,0
"user8246",1,0,0,0
"Tek Ang",26,3,0,0
"Bodil",31,3,0,0
"Karl",163,14,27,1
"k_graham",26,1,0,0
"Kim",382,12,31,0
"Neil Huang",23,1,0,0
"michelemarcon",101,2,9,0
"bcsanches",108,4,2,0
"nourdais",1,1,0,0
"josteinaj",1,0,0,0
"Raphael B.",264,14,2,2
"Mariusz Miesiak",1,0,0,0
"user8270",11,1,0,0
"Pakka Techie",1,0,0,0
"The Fiddler",166,10,2,0
"Thai",101,0,0,0
"user8276",6,2,0,0
"Zusch",11,3,0,0
"Anders B",1,0,0,0
"KingofBliss",101,0,0,0
"Yorirou",101,0,0,0
"verhogen",101,0,0,0
"Josh",21,2,0,0
"binil",101,0,0,0
"hunterman",101,0,0,0
"stevejb",113,2,4,0
"Christopher",2107,32,144,2
"Andrew Burns",101,1,3,0
"murgatroid99",118,0,4,0
"user8295",1,0,0,0
"Kartoch",101,4,16,0
"Ferruccio",101,3,3,0
"Shocm",1,0,0,0
"The G",23,1,0,0
"user8302",120,0,4,0
"phord",101,3,1,0
"paradoja",101,2,5,0
"TRS-80",101,2,0,0
"Gert Cuykens",1,0,0,0
"Riyaz Mohammed Ibrahim",508,6,3,0
"Rob Boone",11,5,0,0
"Bnjmn",101,1,0,0
"Michael Cheng",101,3,0,0
"theSTIG",1,0,0,0
"Vray",18,11,0,0
"sayres",21,3,0,0
"gcc",139,7,3,0
"user8329",1,2,0,0
"Einoras BruÅ¾as",1,3,0,0
"Jiri",101,2,2,0
"ormn",1,0,0,0
"Joey Bagodonuts",38,4,1,0
"ajma",101,2,0,0
"JoaoHornburg",1,0,0,0
"Denis",1,0,0,0
"Seth",1,0,0,0
"Michael Lowman",111,4,0,0
"Jacob Gabrielson",101,2,0,0
"Matthieu",101,2,0,0
"Rob",879,23,3,0
"Leif Andersen",203,7,4,0
"overstood",101,2,1,0
"coklatua",6,5,0,0
"Travis",101,6,0,0
"Francois Marier",11,2,0,0
"user8369",21,5,0,0
"pritamn",6,8,0,0
"MPi",397,11,6,1
"xk0der",101,4,1,0
"gameame",1,0,0,0
"kensai",1,2,0,0
"wildpeaks",150,5,7,0
"Alan",241,2,5,0
"Rachel",101,0,0,0
"Clinton Judy",106,2,0,0
"hardik988",1,9,0,0
"aGr",141,9,0,0
"filipeamoreira",1,0,0,0
"Jason Miesionczek",101,6,1,0
"Rex",101,0,0,0
"Mr E",125,5,4,0
"Ali Davut",1,0,0,0
"Molfar",6,5,0,0
"rcoup",101,2,1,0
"German Rumm",118,2,2,0
"dan gibson",138,4,0,0
"Dimas Cyriaco",1,0,0,0
"Joshkunz",101,0,0,0
"Hank Wang",1,0,0,0
"hippietrail",143,2,4,0
"staticsan",101,3,1,0
"Eric Muyser",101,0,0,0
"ppejovic",113,3,1,0
"101",476,21,39,1
"ArkX",8,4,0,0
"Satpal",1,1,0,0
"user8447",6,0,0,0
"Sean",21,5,2,0
"kieran",101,2,1,0
"Amey Jah",459,2,26,0
"Abhijeet",174,4,5,2
"FLeX",24,3,0,0
"Malocchio",11,2,0,0
"Ioan",101,0,0,0
"Andrei Vajna II",101,2,7,0
"David Hall",101,0,0,0
"recipriversexclusion",106,3,0,0
"alesplin",157,3,3,0
"Schlameel",1,0,0,0
"Mike Doherty",31,2,0,0
"Dani",101,2,0,0
"user8477",9,4,0,0
"draw",11,1,0,0
"anjanesh",21,3,0,0
"iambriansreed",36,0,1,0
"TryPyPy",101,0,20,0
"nathan.f77",101,4,4,0
"Simon",101,2,1,0
"joebuntu",113,4,6,0
"Nellius",101,0,0,0
"eXtractor",41,7,1,0
"richardneish",11,1,0,0
"Joseph Cooper",1,0,0,0
"starcorn",223,12,3,3
"psusi",4503,39,96,25
"Reid Barton",101,2,1,0
"user8502",101,0,0,0
"Moayyad Yaghi",123,0,1,0
"Joakim Elofsson",101,0,5,0
"Brian Leathem",101,0,0,0
"Ryan Conrad",101,3,0,0
"Paul",1,0,0,0
"jmort253",101,1,7,0
"djeikyb",2638,44,762,25
"AntonyW",103,0,2,0
"Ilya Biryukov",101,1,1,0
"crafter",1,2,0,0
"jpl888",21,3,0,0
"James Keesey",101,0,2,0
"Ryan Wyan",16,0,0,0
"Matt V.",101,0,1,0
"Ryan",326,3,30,0
"Matthew Read",166,0,2,0
"Deepak Singh Rawat",101,3,0,0
"PleaseStand",138,0,1,0
"sukhbir",101,0,7,0
"user8540",36,3,0,0
"u-foka",16,4,6,0
"mzuther",31,0,0,0
"Vicky Chijwani",111,0,25,0
"boddhisattva",113,3,2,0
"Richard.99",18,5,2,0
"pdr",101,0,1,0
"Andy",101,0,2,0
"Chris Pick",1,1,0,0
"Jon",101,0,0,0
"user8561",56,14,0,0
"thepd",13,2,0,0
"jwm",11,0,0,0
"Cas",1997,0,104,3
"Hank",101,0,2,0
"koiyu",101,0,0,0
"Kabie",101,0,0,0
"Dennis Sheil",36,0,0,0
"user8580",36,0,0,0
"Space Cracker",101,0,0,0
"gleek",56,2,0,0
"janoChen",436,18,23,0
"Viren Shakya",101,0,0,0
"Bonsi Scott",41,2,4,0
"Adrian",11,1,0,0
"D3c3nt Boy",16,1,0,0
"user8591",31,0,0,0
"user8592",250,6,168,0
"arzeth",26,7,0,0
"Tarek",16,2,0,0
"Nailuj",123,3,4,0
"elhombre",1,0,0,0
"balki",520,2,4,0
"Andrey Losev",3,0,0,0
"ZdenÄ›k Hejl",1,0,0,0
"Laurens",1,1,0,0
"jowido",101,0,0,0
"jojoguy10",101,0,0,0
"user8613",1,0,0,0
"kirill_igum",33,2,1,0
"atc",101,0,0,0
"adamax",101,0,7,0
"m33lky",56,0,1,0
"Lennart Regebro",106,2,5,0
"olshek",1,0,0,0
"Dennis P. Nikolaenko",101,3,0,0
"Mikey",1,0,0,0
"user8631",11,0,0,0
"Amir Afghani",101,0,0,0
"stephbu",101,2,0,0
"GaiusSensei",101,1,0,0
"percent20",121,2,0,0
"user8639",1,0,0,0
"zuzur",11,0,0,0
"Pit",409,15,104,1
"richiemorrisroe",111,0,11,0
"B.A.Hadden",1,0,0,0
"Phillip Whelan",111,0,3,0
"deterb",101,0,1,0
"Hermit",6,0,0,0
"Paul Sasik",111,0,1,0
"Fair Dinkum Thinkum",101,2,0,0
"Kostya",101,1,2,0
"wangjianli",11,0,0,0
"Brett Alton",56,2,2,0
"Buzz",31,1,0,0
"leonbloy",101,0,0,0
"charlesbridge",180,1,22,1
"Zoli",101,0,0,0
"Uros",1,0,0,0
"Denilson SÃ¡",101,1,1,0
"Abie",101,0,0,0
"Gonzalo",379,8,12,1
"Andres Rodriguez",61,2,0,0
"Donato Roque",1,1,0,0
"Mehrdad",468,8,17,0
"TonyUser",101,0,0,0
"daroczig",101,1,1,0
"MrStatic",111,3,0,0
"Leonardo Montenegro",43,3,0,0
"napi",3,2,0,0
"Ted Kim",16,0,0,0
"Dan",101,0,3,0
"iWerner",118,1,1,0
"Lenni",118,0,1,0
"Ð Ð¾Ð´Ð¸Ð¾Ð½ ÐžÐ±ÑƒÑ…",31,2,0,0
"Syed Muhammad Umair",31,9,0,0
"Andrea Spadaccini",80,4,9,0
"manu",21,8,0,0
"Matt Parker",101,0,0,0
"Marty Pitt",101,1,1,0
"HeathLilley",101,0,0,0
"Barry",101,0,0,0
"Luk",101,0,1,0
"Paul Whelan",108,7,3,0
"finemann",33,9,2,0
"upsla",16,5,0,0
"Dave Stenglein",101,0,0,0
"zpletan",463,10,33,0
"radix07",101,0,0,0
"user8728",18,1,0,0
"Bapabooiee",36,0,0,0
"AgainstClint",23,0,0,0
"user8733",6,2,0,0
"kloucks",101,0,1,0
"ryanblak",1,0,0,0
"JK01",101,0,0,0
"Jeffrey",31,0,0,0
"Chris Adams",101,0,0,0
"febs",38,2,2,0
"AndrewMC",21,1,0,0
"lepe",216,5,1,0
"atodd",18,0,1,0
"Arindom",315,0,15,1
"Jim Schubert",111,0,32,0
"user8752",21,2,0,0
"sova",130,3,8,0
"pierr",111,0,0,0
"Ionel Bratianu",106,1,0,0
"dimka",11,2,0,0
"user8758",6,0,0,0
"Suresh",101,0,0,0
"RÃ©gis",101,0,2,0
"Enea George Silviu",1,0,0,0
"Mark Ingram",108,0,4,0
"bogey",31,3,0,0
"whoami",101,3,1,0
"digitaljail",104,10,38,0
"psihodelia",128,1,3,0
"Vlad",101,0,0,0
"Eric",194,0,1,0
"Tim",69,1,6,0
"Schalk Versteeg",101,0,1,0
"user8785",11,3,0,0
"Dragan Chupacabrovic",101,1,1,0
"Matt S.",101,0,0,0
"user8788",1,0,0,0
"RHarris",1,0,0,0
"etique57",1,2,0,0
"Darxus",21,4,0,0
"Christian Toma",101,3,0,0
"Paska",131,3,0,0
"limist",101,0,14,0
"Regmi",1,0,0,0
"Daniel",1,0,0,0
"Marcelo Cantos",558,0,6,0
"alberge",211,1,30,0
"D. Wroblewski",101,0,0,0
"Marcel Gheorghita",101,0,0,0
"the_drow",63,2,3,0
"magbeat",1,0,0,0
"groovehunter",156,2,4,0
"mivk",56,2,0,0
"mamnun",101,19,0,0
"JackLeo",111,1,1,0
"VOIDHand",1,0,0,0
"vucetica",101,0,0,0
"cjacobsen",1,0,0,0
"Jwsonic",1,0,0,0
"eQuiNoX__",133,0,3,0
"Thalles",21,1,0,0
"Markus RenÃ© Einicher",26,6,0,0
"DoxaLogos",101,0,1,0
"jgbelacqua",3930,92,3058,20
"Mohammad Alzahrani",1,0,0,0
"Derek Redfern",48,1,2,0
"luri",1367,21,92,0
"Mox",101,0,1,0
"AmbiguousX",101,0,0,0
"explorest",113,0,5,0
"chienpo",16,0,0,0
"radec",11,3,0,0
"Travis Bradshaw",101,3,3,0
"Arne",101,0,0,0
"SCdF",101,0,7,0
"Bhavik",1,0,0,0
"Marc-FranÃ§ois Cochaux-Laberge",163,3,3,0
"6pack kid",101,1,0,0
"Marcus Khoo",11,3,0,0
"codeomnitrix",123,8,0,0
"Riny",1,0,0,0
"Abhijit Dhar",9,6,0,0
"JoeD",1,0,0,0
"Kirk Strobeck",101,0,0,0
"Daniel0108",878,0,117,7
"mizar",101,0,1,0
"Mark Spangler",101,0,0,0
"warrenm",101,0,1,0
"Muhammad",16,5,0,0
"Samer Abukhait",101,0,0,0
"Peter Taylor",101,0,0,0
"Produnis",120,3,4,0
"Jim Ford",196,3,0,0
"user8911",16,4,0,0
"JÃ¼rgen A. Erhard",101,0,0,0
"Ilari Kajaste",154,0,84,1
"pjmorse",101,1,7,0
"David Raid",56,2,0,0
"Bryan Migliorisi",101,0,0,0
"cutalion",1,0,0,0
"Martin Dow",101,0,0,0
"Kerrick",101,0,0,0
"maugly",101,1,0,0
"PLL",101,6,2,0
"nepsdotin",121,3,1,0
"motumboe",83,4,16,0
"huitseeker",118,0,3,0
"hizki",101,0,0,0
"daniel.jackson",101,1,2,0
"Idan K",78,15,3,0
"Rautamiekka",18,0,0,0
"Rahul Savani",101,0,1,0
"sl3uth",76,3,0,0
"Robert Brook",1,0,0,0
"Sakin",108,0,1,0
"user8946",1,0,0,0
"Hobo",101,0,2,0
"dodecaphonic",6,0,0,0
"user8949",1,0,0,0
"feifan.ubuntu",43,1,0,0
"user8951",109,2,4,0
"Paolo Rotolo",1,0,0,0
"Erik B",155,1,5,0
"znq",101,2,1,0
"Marco L.",1,0,0,0
"Alex",101,0,0,0
"Jonny Barnes",1,0,0,0
"LinDoc",1,1,0,0
"user8962",11,2,0,0
"JoÃ£o",81,14,0,0
"Danilo Piazzalunga",101,0,0,0
"ryniek",16,2,0,0
"TheLugal",18,1,3,0
"Jim",28,2,7,0
"Biffen",1,0,0,0
"user8972",78,12,34,0
"papukaija",1103,20,292,37
"PKKid",156,1,0,0
"rvf0068",1,0,0,0
"dandan78",138,2,2,0
"skyblue",425,5,120,0
"rhu",151,2,8,0
"user8984",1,0,0,0
"arieljlira",1,0,0,0
"dan",469,3,7,0
"SpamKids",101,0,0,0
"icc97",101,0,0,0
"C.J. Steele",19,0,0,0
"jgottula",153,2,13,0
"Karpie",101,3,3,0
"TandemAdam",101,1,3,0
"user8996",1,0,0,0
"phooky",101,0,0,0
"akiva_eshbal",26,2,0,0
"Rahul",6,4,0,0
"Parimal",1,1,0,0
"Radim",1,0,0,0
"Azeworai",21,2,0,0
"H2G",1,0,0,0
"Madhava",153,3,31,0
"Baggz",101,0,0,0
"geirha",2203,33,72,18
"user9017",1,0,0,0
"Alix Axel",101,0,8,0
"kirkus",101,0,1,0
"taresh",1,0,0,0
"tomfanning",101,0,0,0
"Matthew",131,3,0,0
"SebastiÃ¡n Grignoli",120,2,2,0
"tommyk",305,4,45,1
"toni",1,2,0,0
"cosmix",1,1,0,0
"Sorcix",11,0,0,0
"Drazgo",73,3,4,0
"dom0do",1,0,0,0
"ViliusK",54,2,5,0
"Ham",101,1,1,0
"claytron",101,2,0,0
"Kung Foo Anton",1,0,0,0
"Anonymous87",257,0,17,0
"Brandon Craig Rhodes",101,1,2,0
"Regis da Silva",153,1,2,0
"ConstantineXVI",48,0,1,0
"BeSlayed",16,2,4,0
"Tom",21,3,0,0
"brews",91,3,7,0
"Parimal",50,2,3,0
"user9054",6,2,0,0
"LaLeX",1,0,0,0
"ulidtko",1128,23,154,23
"folf",1,1,0,0
"Rafa",1,0,0,0
"wifi",159,2,4,0
"Oleg Shparber",1,0,0,0
"user9069",28,1,0,0
"berkes",189,6,6,0
"urig",148,4,1,0
"Chepech",118,0,4,0
"Gus",146,6,1,0
"SabreWolfy",101,2,10,0
"Jeff",101,5,0,0
"MikeyB",101,2,3,0
"WrightsCS",101,0,0,0
"Julian",101,0,0,0
"ncmathsadist",101,0,1,0
"David",101,0,0,0
"Abafei",158,6,0,0
"David Rivers",101,1,0,0
"Nemo157",101,0,2,0
"Sheldno",1,0,0,0
"Paul Andrew",1,0,0,0
"Franci Penov",101,1,2,0
"user9101",1,0,0,0
"lokheart",101,0,0,0
"kamziro",125,0,2,0
"otherchirps",101,1,8,0
"TimB",101,0,1,0
"TMB",1,0,0,0
"Subhash",122,1,4,0
"arikfr",101,0,0,0
"Vikas Patidar",101,1,0,0
"SorinS",1,0,0,0
"Lennhuiz",6,2,0,0
"goker.cebeci",11,1,0,0
"Ramon Zarazua",101,1,3,0
"MikeVB",303,3,30,0
"John T",8,1,0,0
"obeattie",101,2,0,0
"James Hunt",151,5,0,0
"James",106,1,5,0
"crazyaboutliv",13,0,0,0
"delfuego",101,2,0,0
"Seanland",101,0,3,0
"Grobbendonk",11,3,0,0
"dorkitude",101,0,0,0
"FigBug",118,5,1,0
"Christian",11,0,0,0
"kaapstorm",46,0,0,0
"gennad",101,2,0,0
"Miles Clark",33,2,0,0
"Andrew",150,11,3,0
"phillip",101,0,0,0
"JDW",6,0,0,0
"kemp",101,0,0,0
"roviuser",101,2,0,0
"JerryP",36,3,0,0
"Seitaridis",101,0,0,0
"Malcolm",101,3,1,0
"Jim",36,5,0,0
"kiswa",111,0,0,0
"elivanja",16,2,0,0
"keturn",123,2,5,0
"Gilead",111,0,0,0
"Basically",11,1,0,0
"Yargy",11,4,0,0
"Ragunath Jawahar",101,0,0,0
"Tom",18,3,0,0
"Gu3miles",56,3,1,0
"Arun",125,1,2,0
"Prabin Dahal",56,3,0,0
"paxdiablo",148,1,4,0
"azz0r",16,6,0,0
"Bakudan",137,2,0,0
"AnxiousNut",1,3,0,0
"MobileDev123",131,0,1,0
"AIB",345,2,31,1
"Yarovoy",1,0,0,0
"Strozykowski",1,0,0,0
"MttJocy",81,4,2,0
"vladsharp",11,1,0,0
"anivegmin",1,2,0,0
"Grayside",101,1,0,0
"chappar",101,0,0,0
"markuz",101,1,0,0
"Badescu Alexandru",118,1,0,0
"Patrick",122,1,1,0
"Vivin Paliath",101,0,0,0
"Cronco",118,2,5,0
"Jared",37,1,4,0
"Michael",101,1,0,0
"Kaleo",338,3,7,0
"oxullo",26,1,0,0
"user9226",21,3,0,0
"6205",126,2,0,0
"Warren  P",101,0,0,0
"Zach L",101,0,3,0
"Hugo",101,1,0,0
"Anto",101,2,4,0
"Dimitry L",1,0,0,0
"Sam Svenbjorgchristiensensen",101,0,0,0
"user9237",236,4,0,0
"xgt001",1,0,0,0
"mlaccetti",1,2,0,0
"user9243",17,2,0,0
"Ross",6,1,0,0
"donquixote",8,3,0,0
"user9249",1,0,0,0
"Oleg Rybak",1,0,0,0
"BalÃ¡zs MÃ¡ria NÃ©meth",116,0,0,0
"user9252",1,0,0,0
"Andy E",118,1,2,0
"manol",101,0,0,0
"Xoum",101,5,0,0
"daniel",101,3,0,0
"purefusion",101,0,0,0
"Ishpeck",111,2,4,0
"rdoubleui",101,0,0,0
"Haseeb Mahmud",1,0,0,0
"FranÃ§ois Feugeas",101,6,4,0
"sringer",1,0,0,0
"Michael Butler",101,0,0,0
"Dave Long",189,5,2,0
"przemo_li",123,6,1,0
"Parsa",101,0,0,0
"momoxxen",18,5,1,0
"Martin Puppe",1,0,0,0
"Jarrod",1,0,0,0
"CrazyCoder",136,3,0,0
"Xorty",91,1,3,0
"cmulk",11,1,0,0
"Arne",6,2,0,0
"Riccardo Magrini",68,4,4,0
"Alexander Gladysh",108,2,9,0
"Konrad Rudolph",121,0,10,0
"David Roe",1,0,0,0
"Alb",171,2,9,0
"Artyom Sokolov",101,2,0,0
"Lawrence VelÃ¡zquez",101,7,0,0
"Nazariy",101,2,0,0
"mexiq",1,2,0,0
"Nupraptor",1,1,0,0
"xpaperbackwriterx",6,1,0,0
"Ubuntuser",1071,6,54,1
"Jason",101,2,0,0
"Si01",101,0,0,0
"Azendale",1205,5,136,2
"rangerruss",11,0,0,0
"greg",116,4,3,0
"robin",101,0,0,0
"xPheRe",101,0,2,0
"Florian",41,2,0,0
"Mark",1,0,0,0
"aadravid",101,1,0,0
"gsk",1,0,0,0
"knatten",101,0,0,0
"Hubidubi",1,0,0,0
"Anergy",21,3,1,0
"Igoru",1,0,0,0
"Guanidene",101,0,2,0
"sigjuice",101,0,0,0
"user9335",6,1,0,0
"Dannyfixit",1,0,0,0
"scardario",6,2,0,0
"arrange",2558,12,104,1
"aziz joh",73,6,15,0
"psweber",16,3,0,0
"David Grant",101,2,1,0
"Anton S. Kraievoy",13,2,0,0
"dblang",227,24,194,21
"user9347",1,0,0,0
"raybritton",101,0,0,0
"Floyd Pink",101,3,9,0
"Voulnet",163,2,0,0
"Gary Rowe",101,4,0,0
"appi2012",21,3,0,0
"slashdot",161,0,2,0
"smwikipedia",116,0,0,0
"rubik",108,4,4,0
"HedgeMage",101,3,1,0
"user9379",1,0,0,0
"ArtBIT",101,0,1,0
"Igor Morgado",21,4,0,0
"koukourikos",11,3,0,0
"abra",1,0,0,0
"tm1rbrt",61,6,3,0
"metter",101,0,0,0
"Covarrubias",45,1,0,0
"nvm",113,3,3,0
"Ragmaanir",101,0,0,0
"user9399",19,3,0,0
"Zsub",101,0,0,0
"Mr. Muskrat",101,1,26,0
"jarondl",181,3,1,0
"Jay Sheridan",101,1,4,0
"Mateng",1,0,0,0
"Red_Acid",1,0,0,0
"bernd",16,4,0,0
"pydave",1217,2,215,1
"Juan Antonio",120,2,3,0
"M-x",1,0,0,0
"Andrew G.",31,3,0,0
"jstarek",327,7,10,1
"Marie Mosley",1,0,0,0
"ecoologic",35,6,3,0
"Anirvan",101,3,1,0
"Sam",1,0,0,0
"user9427",1,0,0,0
"garikapati",101,0,0,0
"Starx",177,5,1,0
"Ville Sundberg",36,2,0,0
"Ubby",27,7,0,0
"Tanath",51,2,10,0
"Chan",138,0,4,0
"user9444",1,0,0,0
"Arcege",241,6,16,0
"Veger",101,8,4,0
"CaptnLenz",32,2,5,0
"d4n13l",89,2,0,0
"Brian Wigginton",101,1,0,0
"David Jones",3,2,0,0
"dellphi",33,9,0,0
"TLDR",101,1,0,0
"Zoff",1,0,0,0
"×¨××•×‘×Ÿ",101,1,4,0
"neuronotic",1,0,0,0
"balu",113,2,1,0
"RichardMe",18,4,0,0
"Max",101,0,0,0
"f.ardelian",11,3,0,0
"Hypercube",165,6,11,0
"moses",101,2,0,0
"vissi",101,0,1,0
"mrdrbob",1,0,0,0
"user9489",1,0,0,0
"John",349,4,7,0
"Joe Brockmeier",1,0,0,0
"Joey1978",31,3,0,0
"mrNepal",6,3,0,0
"Marco",3,0,0,0
"TJR",101,2,0,0
"Justin Lawrence",1,1,0,0
"Sebastian Paaske TÃ¸rholm",213,5,14,0
"Data-Base",113,1,6,0
"poulter7",68,4,5,0
"Conrad",101,0,0,0
"user9511",1,0,0,0
"Ozhan Duz",101,3,2,0
"MAKARAND DHONGADI",11,7,0,0
"Ashnur",6,2,0,0
"mireille raad",101,4,0,0
"vgovindan1937",9,0,0,0
"Kieran Benton",101,2,1,0
"BonboBingo",72,7,9,0
"Eraser",564,5,33,1
"dempa",39,1,0,0
"Campbell",101,2,2,0
"Siedrix",113,3,0,0
"LaptopHeaven",101,2,0,0
"Timothy P.",21,7,0,0
"Thorn",28,1,0,0
"michalmocny",101,3,0,0
"Ringo Starr",3,3,0,0
"micah",101,0,7,0
"Badger",121,0,0,0
"Malachi",138,3,2,0
"sterz",117,4,13,0
"user9546",11,3,0,0
"BenZen",65,5,1,0
"j3h",1,0,0,0
"Kangarooo",62,8,3,0
"Peng Qi",1,0,0,0
"Clark Minor",56,3,4,0
"Anirudh",1,0,0,0
"Peter Becker",111,2,0,0
"fragos",370,5,15,0
"Jonathan Schuster",101,4,0,0
"DL-UBN",9,5,0,0
"mar10",101,0,0,0
"Hypnos",133,8,2,0
"Darren Greaves",101,0,1,0
"runeks",41,3,0,0
"Mike",111,3,5,0
"Oscar Mederos",101,1,0,0
"Hamslaai",1,1,0,0
"user9572",21,1,0,0
"ldog",101,2,2,0
"MarcO",1,0,0,0
"iveand",166,2,3,0
"daithib8",351,2,35,0
"poke",101,1,2,0
"Mark Theunissen",1,0,0,0
"Juhani",101,0,0,0
"tdeutsch",48,2,2,0
"Andomar",103,4,0,0
"dko",38,3,6,0
"The Talking Walnut",101,1,0,0
"Alberto Russo",1,0,0,0
"vincent",1,0,0,0
"htavarez",1,0,0,0
"remosu",101,0,0,0
"Geppettvs D'Constanzo",3774,38,7,22
"Jim Hunziker",101,2,12,0
"morganchristiansson",121,1,0,0
"rlg",1,0,0,0
"marjasin",33,2,0,0
"Joschua",101,3,4,0
"fabjoa",53,4,0,0
"lazy1",101,2,1,0
"jjg",99,4,2,0
"Purpletoucan",101,0,0,0
"Mike",157,3,7,0
"DeWorms",1,2,0,0
"user9621",1,3,0,0
"TheSteve0",101,1,2,0
"Raj",8,2,0,0
"a13ph",26,0,0,0
"Steve",8,2,0,0
"IanVaughan",101,0,3,0
"Paul Homes",1,0,0,0
"sunn0",101,3,3,0
"niklasfi",101,0,0,0
"Shiki",101,0,0,0
"amleczko",1,0,0,0
"alexandru",41,1,0,0
"MartÃ­n Marconcini",101,1,0,0
"las",53,2,0,0
"Leo Moore",101,0,0,0
"Marc Demierre",101,0,1,0
"aspitzer",121,2,0,0
"komuta",6,0,0,0
"azkotoki",101,0,2,0
"jmontano",1,0,0,0
"MJB",176,14,1,0
"s3m3n",1,0,0,0
"user9658",11,3,0,0
"Ryan",125,0,2,0
"Andrei Drynov",1,1,0,0
"electrichead",13,2,0,0
"dbrane",106,0,3,0
"Jared",70,8,0,0
"Pierre Buyle",101,0,2,0
"bstpierre",113,3,33,0
"Marin",101,0,0,0
"Tony Breyal",101,0,0,0
"Oliver",31,2,0,0
"Karel BÃ­lek",101,2,1,0
"Loxx",11,0,0,0
"Gaz",101,0,0,0
"TZHX",106,3,2,0
"Vadim Rutkovsky",239,3,29,0
"user9695",1,0,0,0
"Tha.Suresh",36,7,0,0
"Marco Peluso",101,0,0,0
"Achu",1852,7,65,5
"Bjornt",1,0,0,0
"Adam Hepton",101,0,0,0
"xil3",143,3,1,0
"Marcel",137,3,13,0
"Reivax",107,11,41,0
"Olivier Bilodeau",36,2,0,0
"pygator",11,3,0,0
"user9713",21,3,2,0
"KristoferA - Huagati.com",130,4,1,0
"Dan Atkinson",101,2,0,0
"Martin Scharrer",226,2,17,0
"user9719",11,1,0,0
"Greg Chabala",1,2,0,0
"DjFarout",8,3,0,0
"mrothe",1,0,0,0
"werkshy",1,1,0,0
"Patrick",1,0,0,0
"Tom Wright",101,2,1,0
"Jim",43,1,3,0
"Pierre-Antoine LaFayette",101,0,1,0
"asparagino",6,2,0,0
"Htbaa",101,1,2,0
"Jj01",101,2,0,0
"Tyr",118,1,4,0
"zinspire",1,0,0,0
"lovespring",101,0,0,0
"hrvooje",1,0,0,0
"Phill Fernandes",6,0,0,0
"Kathryn Weber",21,7,0,0
"Bond",26,2,0,0
"System.ArgumentException",101,0,0,0
"gatoatigrado",101,0,0,0
"Luka Marinko",101,0,0,0
"Markon",1,0,0,0
"Xaerxess",101,0,0,0
"Paris",41,3,0,0
"evencoil",23,5,0,0
"Dan Shield",101,0,0,0
"Viktor",1,0,0,0
"maedhros",26,5,0,0
"David Planella",211,8,0,0
"Benner",6,3,0,0
"Niloct",111,2,0,0
"Kevin Stembridge",101,0,0,0
"Xander",28,2,2,0
"Max",115,1,3,0
"Henrik",294,2,4,2
"Benjamin Anderson",101,0,0,0
"Marnix Klooster",101,0,0,0
"KarlPoe",1,0,0,0
"meanderix",76,3,1,0
"kernal",68,3,9,0
"Phil Hollenback",101,2,5,0
"Ole Thomsen Buus",28,2,3,0
"inazaruk",101,3,0,0
"musicfreak",101,0,2,0
"A Hylian Human",118,3,2,0
"user9813",1,0,0,0
"Dan",6,1,0,0
